functionName,scalingFactor,engine,downloadTime,executionTime,totalTime,queryID,sf_executionTime,sf_compilationTime
columnopassignment,SF100,pandas,155.8106341362,3.60087180137634,159.411505937576,None,None,None
columnopassignment,SF100,pandas,154.264283180237,3.59684324264526,157.861126422882,None,None,None
columnopassignment,SF100,pandas,136.649460554123,3.61618518829346,140.265645742416,None,None,None
columnopassignment,SF100,pandas,163.356606960297,3.61445379257202,166.971060752869,None,None,None
selection,SF100,pandas,159.102021217346,9.29140281677246,168.393424034119,None,None,None
selection,SF100,pandas,159.498118877411,9.3175904750824,168.815709352493,None,None,None
selection,SF100,pandas,130.902403593063,9.30533337593079,140.207736968994,None,None,None
sort,SF100,pandas,123.517956495285,559.186010837555,682.70396733284,None,None,None
sort,SF100,pandas,123.644554376602,593.56139087677,717.205945253372,None,None,None
sort,SF100,pandas,126.140786886215,567.382767915726,693.523554801941,None,None,None
